"id_average","id_stddev","C_[0]_average","C_[0]_stddev","C_[1]_average","C_[1]_stddev","Cd_[0]_average","Cd_[0]_stddev","Cd_[1]_average","Cd_[1]_stddev","v_average:0","v_average:1","v_average:2","v_stddev:0","v_stddev:1","v_stddev:2","c_rhoatom_average","c_rhoatom_stddev","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
564,0,891.3758991808735,23.33426268029764,127251.961192469,11137.23151865319,1985.039184570312,5549.3828125,116579.8828125,25133.02734375,0,0,0,0,0,0,1000,0,1,0.5847997069358826,0.01146666053682566,-1.110223024625157e-16,0
565,0,35.65612918009177,0.05192053960862991,252891.4321993898,22242.34530227348,110.2745132446289,779.758544921875,246065.171875,38001.40625,0,0,0,0,0,0,1000,0,1,0.5962663292884827,0.02293332107365131,-1.110223024625157e-16,0
566,0,0,0,380148.1568627451,33321.37798351822,0,0,374006.34375,53565.02734375,0,0,0,0,0,0,1000,0,1,0.6077330112457275,0.03439998254179955,-1.110223024625157e-16,0
566,0,8.703365750951559e-10,6.376757550026663e-12,380148.1585232835,33321.37812464253,0,0,374006.34375,53565.02734375,0,0,0,0,0,0,1000,0,1,0.6191996932029724,0.04586664214730263,-1.110223024625157e-16,0
567,0,0.06697463682471155,0.0004907078861825144,507930.8544422608,44181.25604959387,0,0,514300.46875,73105.9453125,0,0,0,0,0,0,1000,0,1,0.6306663155555725,0.05733330175280571,-1.110223024625157e-16,0
568,0,2.023949740595381e-11,1.511419765289861e-13,636289.5136776484,54741.41776808644,0,0,633748.9375,92593.6015625,0,0,0,0,0,0,1000,0,1,0.6421329975128174,0.06879996508359909,-1.110223024625157e-16,0
569,0,0.0001112471649051707,8.307576047845624e-07,765356.8566426806,64929.5221743975,0,0,759815.0625,75572.84375,0,0,0,0,0,0,1000,0,1,0.6535996198654175,0.08026662468910217,-1.110223024625157e-16,0
570,0,4.78838192264029e-15,3.580546188665345e-17,895264.8661465939,74676.30891573151,0,0,895807.6875,97643.140625,0,0,0,0,0,0,1000,0,1,0.6650663018226624,0.09173328429460526,-1.110223024625157e-16,0
571,0,1.842378923839079e-07,1.377651770557177e-09,1026140.895157713,83915.86183576268,0,0,1033675.3125,101626.71875,0,0,0,0,0,0,1000,0,1,0.6765329837799072,0.1031999439001083,-1.110223024625157e-16,0
572,0,2.394213346742539e-14,1.790289833189374e-16,1158103.237753154,92584.32704102295,0,0,1148491.75,122225.1171875,0,0,0,0,0,0,1000,0,1,0.6879996061325073,0.1146666035056114,-1.110223024625157e-16,0
572,0,0,0,1158103.254901961,92584.32816750975,0,0,1148491.75,122225.1171875,0,0,0,0,0,0,1000,0,1,0.6994662880897522,0.1261332631111145,-1.110223024625157e-16,0
573,0,3.050915164386511e-10,2.283530292300832e-12,1291266.323437733,100622.8904349992,0,0,1299594.625,139506.46875,0,0,0,0,0,0,1000,0,1,0.7109329700469971,0.1375999301671982,-1.110223024625157e-16,0
574,0,1.110124659130869e-16,8.308993042306447e-19,1425733.284405344,107976.396119285,0,0,1427425.375,150973.9375,0,0,0,0,0,0,1000,0,1,0.7223995923995972,0.1490665823221207,-1.110223024625157e-16,0
575,0,5.052061498579275e-13,3.784633683188548e-15,1561600.616794057,114595.1883694298,0,0,1573675.25,167593.8125,0,0,0,0,0,0,1000,0,1,0.733866274356842,0.1605332493782043,-1.110223024625157e-16,0
576,0,2.626104886230463e-19,1.96728504013833e-21,1698953.065857884,120432.3329513737,0,0,1717499,173641.0625,0,0,0,0,0,0,1000,0,1,0.7453329563140869,0.1719999015331268,-1.110223024625157e-16,0
577,0,8.35475291533939e-16,6.264476894846905e-18,1837866.870050542,125448.7802724885,0,0,1851065.25,166346.265625,0,0,0,0,0,0,1000,0,1,0.756799578666687,0.1834665685892105,-1.110223024625157e-16,0
578,0,3.134070392156863e-17,2.350472509532916e-19,1978408.62745098,129608.2110994154,0,0,1958822.375,186112.75,0,0,0,0,0,0,1000,0,1,0.7682662606239319,0.1949332356452942,-1.110223024625157e-16,0
578,0,3.134070392156863e-17,2.350472509532916e-19,1978408.62745098,129608.2110994154,0,0,1958822.375,186112.75,0,0,0,0,0,0,1000,0,1,0.7797329425811768,0.2063998878002167,-1.110223024625157e-16,0
579,0,4.932975090816721e-26,3.703386434844979e-28,2120629.675184289,132882.9047999508,0,0,2137499.25,170930.734375,0,0,0,0,0,0,1000,0,1,0.7911995649337769,0.2178665548563004,-1.110223024625157e-16,0
580,0,1.054443647514046e-19,7.916140318205929e-22,2264574.080235252,135248.4069823081,0,0,2273270.75,167543.671875,0,0,0,0,0,0,1000,0,1,0.8026662468910217,0.2293332070112228,-1.110223024625157e-16,0
581,0,7.979798770289439e-29,5.996019847047489e-31,2410270.634228438,136688.9412800738,0,0,2450293.75,161017.734375,0,0,0,0,0,0,1000,0,1,0.8141329288482666,0.2407998740673065,-1.110223024625157e-16,0
582,0,2.558572465437044e-22,1.922511046267059e-24,2557738.958283562,137194.712605182,0,0,2573491.25,192811.78125,0,0,0,0,0,0,1000,0,1,0.8255995512008667,0.252266526222229,-1.110223024625157e-16,0
583,0,2.925929318451553e-28,2.19854294193653e-30,2706995.319509609,136759.4212839993,0,0,2731543,197270.21875,0,0,0,0,0,0,1000,0,1,0.8370661735534668,0.2637331783771515,-1.110223024625157e-16,0
584,0,6.588482852410485e-25,4.955133837281233e-27,2857471.482933008,135394.8102419194,0,0,2889815.25,216861.625,0,0,0,0,0,0,1000,0,1,0.8485329151153564,0.2751998603343964,-1.110223024625157e-16,0
585,0,1.778932774159864e-37,1.337918027708471e-39,3009153.725490155,133112.1420922802,0,0,3045219.5,203426.015625,0,0,0,0,0,0,1000,0,1,0.8599995374679565,0.2866665124893188,-1.110223024625157e-16,0
585,0,0,0,3009153.725490196,133112.1420922796,0,0,3045219.5,203426.015625,0,0,0,0,0,0,1000,0,1,0.8714661598205566,0.2981331646442413,-1.110223024625157e-16,0
586,0,2.569291571615709e-27,1.933609337175102e-29,3161986.255780112,129930.5430991433,0,0,3203933,187539.3125,0,0,0,0,0,0,1000,0,1,0.8829329013824463,0.3095998466014862,-1.110223024625157e-16,0
587,0,4.61911553122835e-36,3.478571074801841e-38,3317068.496770332,125847.3580546442,0,0,3338271.25,176924.5,0,0,0,0,0,0,1000,0,1,0.8943995237350464,0.3210664987564087,-1.110223024625157e-16,0
588,0,1.110774359448128e-29,8.365037703181847e-32,3474332.696049622,120886.9694312464,0,0,3510771.5,184355.78125,0,0,0,0,0,0,1000,0,1,0.9058661460876465,0.3325331509113312,-1.110223024625157e-16,0
589,0,1.154779987761145e-35,8.696436008210681e-38,3633742.775450961,115078.7349853349,0,0,3678418.5,181569.671875,0,0,0,0,0,0,1000,0,1,0.9173328280448914,0.3439998030662537,-1.110223024625157e-16,0
590,0,2.883322896076551e-32,2.17334113437981e-34,3794049.153622593,108504.9491885969,0,0,3811873.75,157132.09375,0,0,0,0,0,0,1000,0,1,0.9287995100021362,0.3554664850234985,-1.110223024625157e-16,0
591,0,0,0,3955183.921568627,101211.8239445863,0,0,3967941,179223.375,0,0,0,0,0,0,1000,0,1,0.9402661323547363,0.366933137178421,-1.110223024625157e-16,0
591,0,0,0,3955183.921568627,101211.8239445863,0,0,3967941,179223.375,0,0,0,0,0,0,1000,0,1,0.9517328143119812,0.3783997893333435,-1.110223024625157e-16,0
592,0,1.125940556127306e-34,8.492099473946151e-37,4117025.106123794,93251.68169400032,0,0,4158969.25,207173.296875,0,0,0,0,0,0,1000,0,1,0.9631994962692261,0.3898664712905884,-1.110223024625157e-16,0
593,0,2.534898118819554e-43,1.91326225182175e-45,4280677.536921458,84622.31067879261,0,0,4303675.5,172726.28125,0,0,0,0,0,0,1000,0,1,0.9746661186218262,0.4013331234455109,-1.110223024625157e-16,0
594,0,4.876604476234682e-37,3.680709371384784e-39,4446009.76954507,75378.77155721585,0,0,4463712.5,200465.46875,0,0,0,0,0,0,1000,0,1,0.986132800579071,0.4127997756004333,-1.110223024625157e-16,0
595,0,4.562820910520588e-43,3.443875296253443e-45,4612919.451673124,65583.55647887295,0,0,4662131.5,179277.1875,0,0,0,0,0,0,1000,0,1,0.9975994825363159,0.4242664277553558,-1.110223024625157e-16,0
596,0,1.267623911980091e-39,9.576455116112167e-42,4780680.353143817,55334.97191584726,0,0,4817536,160312.203125,0,0,0,0,0,0,1000,0,1,1.009066104888916,0.4357331097126007,-1.110223024625157e-16,0
597,0,0,0,4948547.05882353,44743.27037992037,0,0,4973822,202032.5625,0,0,0,0,0,0,1000,0,1,1.020532846450806,0.4471997618675232,-1.110223024625157e-16,0
597,0,0,0,4948547.05882353,44743.27037992037,0,0,4973822,202032.5625,0,0,0,0,0,0,1000,0,1,1.031999468803406,0.4586664140224457,-1.110223024625157e-16,0
598,0,3.298716865105556e-42,2.49452134857561e-44,5116391.751391073,33882.77844406028,0,0,5162867,161411.703125,0,0,0,0,0,0,1000,0,1,1.043466091156006,0.4701330661773682,-1.110223024625157e-16,0
599,0,0,0,5284047.948252207,22828.64554330868,0,0,5279889,172350.578125,0,0,0,0,0,0,1000,0,1,1.054932832717896,0.481599748134613,-1.110223024625157e-16,0
600,0,0,0,5452563.51189254,11579.95288181055,0,0,5472793.5,176289.046875,0,0,0,0,0,0,1000,0,1,1.066399455070496,0.4930664002895355,-1.110223024625157e-16,0
1257.99951171875,0,0,0,5624999.856585708,0.009630970547159563,0,0,5624996,1.792006731033325,0,0,0,0,0,0,1000,0,1,1.077866077423096,0.504533052444458,-1.110223024625157e-16,0
1259,0,0,0,5625000,0,0,0,5624996,1.645389676094055,0,0,0,0,0,0,1000,0,1,1.089332818984985,0.5159997344017029,-1.110223024625157e-16,0
1260,0,0,0,5625000,0,0,0,5624996,1.645389676094055,0,0,0,0,0,0,1000,0,1,1.100799322128296,0.527466356754303,-1.110223024625157e-16,0
1260,0,0,0,5625000,0,0,0,5624996,1.645389676094055,0,0,0,0,0,0,1000,0,1,1.112266063690186,0.5389330387115479,-1.110223024625157e-16,0
1261,0,0,0,5625000,0,0,0,5624996,1.645389676094055,0,0,0,0,0,0,1000,0,1,1.123732805252075,0.5503997206687927,-1.110223024625157e-16,0
1262,0,0,0,5625000,0,0,0,5624996,1.645389676094055,0,0,0,0,0,0,1000,0,1,1.135199308395386,0.5618663430213928,-1.110223024625157e-16,0
1263,0,0,0,5625000,0,0,0,5624996,1.645389676094055,0,0,0,0,0,0,1000,0,1,1.146666049957275,0.5733330249786377,-1.110223024625157e-16,0
